,ID,Title,Unknown,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,num_ratings,tot_rating,avg_rating
0,1,Toy Story (1995),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,452,1753,3.8783185840707963
1,2,GoldenEye (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,131,420,3.2061068702290076
2,3,Four Rooms (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,273,3.033333333333333
3,4,Get Shorty (1995),0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,209,742,3.550239234449761
4,5,Copycat (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,86,284,3.302325581395349
5,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,93,3.576923076923077
6,7,Twelve Monkeys (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,392,1489,3.798469387755102
7,8,Babe (1995),0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,219,875,3.9954337899543377
8,9,Dead Man Walking (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,299,1165,3.8963210702341136
9,10,Richard III (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,89,341,3.831460674157303
10,11,Seven (Se7en) (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,236,908,3.847457627118644
11,12,"Usual Suspects, The (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,267,1171,4.385767790262173
12,13,Mighty Aphrodite (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,184,629,3.4184782608695654
13,14,"Postino, Il (1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,183,726,3.9672131147540983
14,15,Mr. Holland's Opus (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,293,1107,3.7781569965870307
15,16,French Twist (Gazon maudit) (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,39,125,3.2051282051282053
16,17,From Dusk Till Dawn (1996),0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,92,287,3.119565217391304
17,18,"White Balloon, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,28,2.8
18,19,Antonia's Line (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69,273,3.9565217391304346
19,20,Angels and Insects (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,72,246,3.4166666666666665
20,21,Muppet Treasure Island (1996),0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,84,232,2.761904761904762
21,22,Braveheart (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,297,1233,4.151515151515151
22,23,Taxi Driver (1976),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,182,750,4.1208791208791204
23,24,Rumble in the Bronx (1995),0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,174,600,3.4482758620689653
24,25,"Birdcage, The (1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,293,1009,3.4436860068259385
25,26,"Brothers McMullen, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,252,3.452054794520548
26,27,Bad Boys (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,177,3.1052631578947367
27,28,Apollo 13 (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,276,1085,3.931159420289855
28,29,Batman Forever (1995),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,114,304,2.6666666666666665
29,30,Belle de jour (1967),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,146,3.945945945945946
30,31,Crimson Tide (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,154,559,3.6298701298701297
31,32,Crumb (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,81,307,3.7901234567901234
32,33,Desperado (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,97,335,3.4536082474226806
33,34,"Doom Generation, The (1995)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,19,2.7142857142857144
34,35,Free Willy 2: The Adventure Home (1995),0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,24,2.1818181818181817
35,36,Mad Love (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,13,28,2.1538461538461537
36,37,Nadja (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,18,2.25
37,38,"Net, The (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,120,361,3.0083333333333333
38,39,Strange Days (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,87,284,3.264367816091954
39,40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57,165,2.8947368421052633
40,41,Billy Madison (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,114,3.081081081081081
41,42,Clerks (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,148,563,3.804054054054054
42,43,Disclosure (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,40,120,3.0
43,44,Dolores Claiborne (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,79,264,3.3417721518987342
44,45,Eat Drink Man Woman (1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,80,324,4.05
45,46,Exotica (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,96,3.5555555555555554
46,47,Ed Wood (1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,133,479,3.601503759398496
47,48,Hoop Dreams (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,117,479,4.094017094017094
48,49,I.Q. (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,81,269,3.3209876543209877
49,50,Star Wars (1977),0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,583,2541,4.3584905660377355
50,51,Legends of the Fall (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,81,280,3.45679012345679
51,52,"Madness of King George, The (1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91,343,3.769230769230769
52,53,Natural Born Killers (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,128,378,2.953125
53,54,Outbreak (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,104,337,3.2403846153846154
54,55,"Professional, The (1994)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,149,552,3.704697986577181
55,56,Pulp Fiction (1994),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,394,1600,4.060913705583756
56,57,Priest (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,160,4.0
57,58,Quiz Show (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,175,638,3.645714285714286
58,59,Three Colors: Red (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83,337,4.0602409638554215
59,60,Three Colors: Blue (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,64,257,4.015625
60,61,Three Colors: White (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,228,3.864406779661017
61,62,Stargate (1994),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,127,399,3.141732283464567
62,63,"Santa Clause, The (1994)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,254,3.097560975609756
63,64,"Shawshank Redemption, The (1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,283,1258,4.445229681978798
64,65,What's Eating Gilbert Grape (1993),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,115,407,3.5391304347826087
65,66,While You Were Sleeping (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,162,575,3.549382716049383
66,67,Ace Ventura: Pet Detective (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103,314,3.0485436893203883
67,68,"Crow, The (1994)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,134,458,3.417910447761194
68,69,Forrest Gump (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,321,1237,3.853582554517134
69,70,Four Weddings and a Funeral (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,251,919,3.6613545816733066
70,71,"Lion King, The (1994)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,220,832,3.7818181818181817
71,72,"Mask, The (1994)",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,129,412,3.193798449612403
72,73,Maverick (1994),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,128,444,3.46875
73,74,Faster Pussycat! Kill! Kill! (1965),0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,21,3.0
74,75,Brother Minister: The Assassination of Malcolm X (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,15,3.0
75,76,Carlito's Way (1993),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,54,184,3.4074074074074074
76,77,"Firm, The (1993)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,151,495,3.2781456953642385
77,78,Free Willy (1993),0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,81,2.4545454545454546
78,79,"Fugitive, The (1993)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,336,1359,4.044642857142857
79,80,Hot Shots! Part Deux (1993),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,68,188,2.764705882352941
80,81,"Hudsucker Proxy, The (1994)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,110,391,3.5545454545454547
81,82,Jurassic Park (1993),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,261,971,3.7203065134099615
82,83,Much Ado About Nothing (1993),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,176,715,4.0625
83,84,Robert A. Heinlein's The Puppet Masters (1994),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18,54,3.0
84,85,"Ref, The (1994)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,176,3.0344827586206895
85,86,"Remains of the Day, The (1993)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,150,591,3.94
86,87,Searching for Bobby Fischer (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,138,539,3.9057971014492754
87,88,Sleepless in Seattle (1993),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,213,754,3.539906103286385
88,89,Blade Runner (1982),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,275,1138,4.138181818181818
89,90,So I Married an Axe Murderer (1993),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,95,290,3.0526315789473686
90,91,"Nightmare Before Christmas, The (1993)",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,143,513,3.5874125874125875
91,92,True Romance (1993),0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,104,376,3.6153846153846154
92,93,Welcome to the Dollhouse (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,112,417,3.7232142857142856
93,94,Home Alone (1990),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,137,423,3.0875912408759123
94,95,Aladdin (1992),0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,219,835,3.8127853881278537
95,96,Terminator 2: Judgment Day (1991),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,295,1182,4.0067796610169495
96,97,Dances with Wolves (1990),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,256,971,3.79296875
